DATE,A191RL1Q225SBEA
1992-01-01,4.3750000000000000
1993-01-01,2.6250000000000000
1994-01-01,4.1250000000000000
1995-01-01,2.2000000000000000
1996-01-01,4.4000000000000000
1997-01-01,4.5000000000000000
1998-01-01,4.9000000000000000
1999-01-01,4.8250000000000000
2000-01-01,2.9500000000000000
2001-01-01,0.17500000000000000000
2002-01-01,2.0000000000000000
2003-01-01,4.3000000000000000
2004-01-01,3.3250000000000000
2005-01-01,2.9750000000000000
2006-01-01,2.6500000000000000
2007-01-01,2.1250000000000000
2008-01-01,-2.4750000000000000
2009-01-01,0.15000000000000000000
2010-01-01,2.7500000000000000
2011-01-01,1.5750000000000000
2012-01-01,1.5750000000000000
2013-01-01,3.0250000000000000
2014-01-01,2.7250000000000000
2015-01-01,2.1000000000000000
2016-01-01,2.1750000000000000
2017-01-01,3.0250000000000000
2018-01-01,2.1250000000000000
2019-01-01,3.2000000000000000
2020-01-01,1.4250000000000000
2021-01-01,5.4250000000000000
2022-01-01,0.67500000000000000000
2023-01-01,3.1500000000000000
