DATE,DGS3MO
1992-01-01,3.5143426294820717
1993-01-01,3.0660000000000000
1994-01-01,4.3724899598393574
1995-01-01,5.6603600000000000
1996-01-01,5.1455952380952381
1997-01-01,5.2014400000000000
1998-01-01,4.9069600000000000
1999-01-01,4.7772111553784861
2000-01-01,5.9999203187250996
2001-01-01,3.4786693548387097
2002-01-01,1.6353200000000000
2003-01-01,1.0280400000000000
2004-01-01,1.3987200000000000
2005-01-01,3.2161200000000000
2006-01-01,4.8515600000000000
2007-01-01,4.4809561752988048
2008-01-01,1.3968525896414343
2009-01-01,0.15092000000000000000
2010-01-01,0.13844621513944223108
2011-01-01,0.05284000000000000000
2012-01-01,0.08760000000000000000
2013-01-01,0.05708000000000000000
2014-01-01,0.03272000000000000000
2015-01-01,0.05250996015936254980
2016-01-01,0.31936000000000000000
2017-01-01,0.94896000000000000000
2018-01-01,1.9716867469879518
2019-01-01,2.1057600000000000
2020-01-01,0.36027888446215139442
2021-01-01,0.04490039840637450199
2022-01-01,2.0853815261044177
2023-01-01,5.2788400000000000
